TID,Description of the technique,Ignore
T1003.008,/etc/passwd and /etc/shadow
T1557.002,ARP Cache Poisoning
T1548,Abuse Elevation Control Mechanism
T1531,Account Access Removal
T1087,Account Discovery
T1098,Account Manipulation
T1499.003,Application Exhaustion Flood
T1071,Application Layer Protocol
T1499.004,Application or System Exploitation
T1560,Archive Collected Data
T1560.003,Archive via Custom Method
T1560.002,Archive via Library
T1560.001,Archive via Utility
T1573.002,Asymmetric Cryptography
T1053.001,At (Linux)
T1123,Audio Capture
T1119,Automated Collection
T1020,Automated Exfiltration
T1552.003,Bash History
T1102.002,Bidirectional Communication
T1027.001,Binary Padding
T1547,Boot or Logon Autostart Execution
T1037,Boot or Logon Initialization Scripts
T1542.003,Bootkit
T1217,Browser Bookmark Discovery
T1176,Browser Extensions
T1110,Brute Force
T1070.003,Clear Command History
T1070.002,Clear Linux or Mac System Logs
T1115,Clipboard Data
T1059,Command and Scripting Interpreter
T1043,Commonly Used Port
T1092,Communication Through Removable Media
T1027.004,Compile After Delivery
T1554,Compromise Client Software Binary
T1195.003,Compromise Hardware Supply Chain
T1195.001,Compromise Software Dependencies and Development Tools
T1195.002,Compromise Software Supply Chain
T1136,Create Account
T1543,Create or Modify System Process
T1110.004,Credential Stuffing
T1552.001,Credentials In Files
T1555,Credentials from Password Stores
T1555.003,Credentials from Web Browsers
T1053.003,Cron
T1071.004,DNS
T1568.003,DNS Calculation
T1485,Data Destruction
T1132,Data Encoding
T1486,Data Encrypted for Impact
T1565,Data Manipulation
T1001,Data Obfuscation
T1074,Data Staged
T1030,Data Transfer Size Limits
T1213,Data from Information Repositories
T1005,Data from Local System
T1039,Data from Network Shared Drive
T1025,Data from Removable Media
T1102.001,Dead Drop Resolver
T1491,Defacement
T1078.001,Default Accounts
T1140,Deobfuscate/Decode Files or Information
T1498.001,Direct Network Flood
T1562.004,Disable or Modify System Firewall
T1562.001,Disable or Modify Tools
T1561.001,Disk Content Wipe
T1561.002,Disk Structure Wipe
T1561,Disk Wipe
T1136.002,Domain Account
T1087.002,Domain Account
T1078.002,Domain Accounts
T1090.004,Domain Fronting
