TID,Description of the technique,Ignore
T1557.002,ARP Cache Poisoning
T1558.004,AS-REP Roasting
T1548,Abuse Elevation Control Mechanism
T1134,Access Token Manipulation
T1546.008,Accessibility Features
T1531,Account Access Removal
T1087,Account Discovery
T1098,Account Manipulation
T1547.014,Active Setup
T1137.006,Add-ins
T1546.009,AppCert DLLs
T1546.010,AppInit DLLs
T1499.003,Application Exhaustion Flood
T1071,Application Layer Protocol
T1546.011,Application Shimming
T1010,Application Window Discovery
T1499.004,Application or System Exploitation
T1560,Archive Collected Data
T1560.003,Archive via Custom Method
T1560.002,Archive via Library
T1560.001,Archive via Utility
T1573.002,Asymmetric Cryptography
T1055.004,Asynchronous Procedure Call
T1053.002,At (Windows)
T1123,Audio Capture
T1547.002,Authentication Package
T1119,Automated Collection
T1020,Automated Exfiltration
T1197,BITS Jobs
T1102.002,Bidirectional Communication
T1027.001,Binary Padding
T1547,Boot or Logon Autostart Execution
T1037,Boot or Logon Initialization Scripts
T1542.003,Bootkit
T1217,Browser Bookmark Discovery
T1176,Browser Extensions
T1110,Brute Force
T1548.002,Bypass User Account Control
T1218.003,CMSTP
T1574.012,COR_PROFILER
T1003.005,Cached Domain Credentials
T1546.001,Change Default File Association
T1070.003,Clear Command History
T1070.001,Clear Windows Event Logs
T1115,Clipboard Data
T1553.002,Code Signing
T1553.006,Code Signing Policy Modification
T1059,Command and Scripting Interpreter
T1043,Commonly Used Port
T1092,Communication Through Removable Media
T1027.004,Compile After Delivery
T1218.001,Compiled HTML File
T1542.002,Component Firmware
T1559.001,Component Object Model
T1546.015,Component Object Model Hijacking
T1175,Component Object Model and Distributed COM
T1554,Compromise Client Software Binary
T1195.003,Compromise Hardware Supply Chain
T1195.001,Compromise Software Dependencies and Development Tools
T1195.002,Compromise Software Supply Chain
T1218.002,Control Panel
T1136,Create Account
T1134.002,Create Process with Token
T1543,Create or Modify System Process
T1056.004,Credential API Hooking
T1110.004,Credential Stuffing
T1552.001,Credentials In Files
T1555,Credentials from Password Stores
T1555.003,Credentials from Web Browsers
T1552.002,Credentials in Registry
T1003.006,DCSync
T1574.001,DLL Search Order Hijacking
T1574.002,DLL Side-Loading
T1071.004,DNS
T1568.003,DNS Calculation
T1485,Data Destruction
T1132,Data Encoding
T1486,Data Encrypted for Impact
T1565,Data Manipulation
T1001,Data Obfuscation
T1074,Data Staged
T1030,Data Transfer Size Limits
T1213,Data from Information Repositories
T1005,Data from Local System
T1039,Data from Network Shared Drive
T1025,Data from Removable Media
T1102.001,Dead Drop Resolver
T1491,Defacement
T1078.001,Default Accounts
T1140,Deobfuscate/Decode Files or Information
T1498.001,Direct Network Flood
T1006,Direct Volume Access
T1562.002,Disable Windows Event Logging
T1562.004,Disable or Modify System Firewall
T1562.001,Disable or Modify Tools
T1561.001,Disk Content Wipe
T1561.002,Disk Structure Wipe
T1561,Disk Wipe
T1021.003,Distributed Component Object Model
T1136.002,Domain Account
T1087.002,Domain Account
T1078.002,Domain Accounts
T1556.001,Domain Controller Authentication
T1090.004,Domain Fronting
T1568.002,Domain Generation Algorithms
T1069.002,Domain Groups
T1484,Domain Policy Modification
T1482,Domain Trust Discovery
T1484.002,Domain Trust Modification
T1189,Drive-by Compromise
T1559.002,Dynamic Data Exchange
T1568,Dynamic Resolution
T1055.001,Dynamic-link Library Injection
T1087.003,Email Account
T1114,Email Collection
T1114.003,Email Forwarding Rule
T1573,Encrypted Channel
T1499,Endpoint Denial of Service
T1480.001,Environmental Keying
T1611,Escape to Host
T1546,Event Triggered Execution
T1098.002,Exchange Email Delegate Permissions
T1574.005,Executable Installer File Permissions Weakness
T1480,Execution Guardrails
T1048,Exfiltration Over Alternative Protocol
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
T1011.001,Exfiltration Over Bluetooth
T1041,Exfiltration Over C2 Channel
T1011,Exfiltration Over Other Network Medium
T1052,Exfiltration Over Physical Medium
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol
T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol
T1567,Exfiltration Over Web Service
T1052.001,Exfiltration over USB
T1567.002,Exfiltration to Cloud Storage
T1567.001,Exfiltration to Code Repository
T1190,Exploit Public-Facing Application
T1203,Exploitation for Client Execution
T1212,Exploitation for Credential Access
T1211,Exploitation for Defense Evasion
T1068,Exploitation for Privilege Escalation
T1210,Exploitation of Remote Services
T1491.002,External Defacement
T1090.002,External Proxy
T1133,External Remote Services
T1055.011,Extra Window Memory Injection
T1008,Fallback Channels
T1568.001,Fast Flux DNS
T1070.004,File Deletion
T1071.002,File Transfer Protocols
T1083,File and Directory Discovery
T1222,File and Directory Permissions Modification
T1495,Firmware Corruption
T1187,Forced Authentication
T1606,Forge Web Credentials
T1056.002,GUI Input Capture
T1558.001,Golden Ticket
T1061,Graphical User Interface
T1484.001,Group Policy Modification
T1552.006,Group Policy Preferences
T1200,Hardware Additions
T1564.005,Hidden File System
T1564.001,Hidden Files and Directories
T1564.003,Hidden Window
T1564,Hide Artifacts
T1574,Hijack Execution Flow
T1062,Hypervisor
T1546.012,Image File Execution Options Injection
T1562.003,Impair Command History Logging
T1562,Impair Defenses
T1562.006,Indicator Blocking
T1027.005,Indicator Removal from Tools
T1070,Indicator Removal on Host
T1202,Indirect Command Execution
T1105,Ingress Tool Transfer
T1490,Inhibit System Recovery
T1056,Input Capture
T1553.004,Install Root Certificate
T1218.004,InstallUtil
T1559,Inter-Process Communication
T1491.001,Internal Defacement
T1090.001,Internal Proxy
T1534,Internal Spearphishing
T1016.001,Internet Connection Discovery
T1036.001,Invalid Code Signature
T1059.007,JavaScript
T1001.001,Junk Data
T1558.003,Kerberoasting
T1056.001,Keylogging
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay
T1003.004,LSA Secrets
T1547.008,LSASS Driver
T1003.001,LSASS Memory
T1570,Lateral Tool Transfer
T1136.001,Local Account
T1087.001,Local Account
T1078.003,Local Accounts
T1074.001,Local Data Staging
T1114.001,Local Email Collection
T1069.001,Local Groups
T1037.001,Logon Script (Windows)
T1127.001,MSBuild
T1071.003,Mail Protocols
T1134.003,Make and Impersonate Token
T1204.002,Malicious File
T1204.001,Malicious Link
T1185,Man in the Browser
T1557,Man-in-the-Middle
T1553.005,Mark-of-the-Web Bypass
T1036.004,Masquerade Task or Service
T1036,Masquerading
T1036.005,Match Legitimate Name or Location
T1556,Modify Authentication Process
T1112,Modify Registry
T1218.005,Mshta
T1218.007,Msiexec
T1104,Multi-Stage Channels
T1090.003,Multi-hop Proxy
T1026,Multiband Communication
T1003.003,NTDS
T1564.004,NTFS File Attributes
T1106,Native API
T1546.007,Netsh Helper DLL
T1498,Network Denial of Service
T1037.003,Network Logon Script
T1046,Network Service Scanning
T1070.005,Network Share Connection Removal
T1135,Network Share Discovery
T1040,Network Sniffing
T1095,Non-Application Layer Protocol
T1132.002,Non-Standard Encoding
T1571,Non-Standard Port
T1003,OS Credential Dumping
T1499.001,OS Exhaustion Flood
T1027,Obfuscated Files or Information
T1218.008,Odbcconf
T1137,Office Application Startup
T1137.001,Office Template Macros
T1137.002,Office Test
T1102.003,One-Way Communication
T1137.003,Outlook Forms
T1137.004,Outlook Home Page
T1137.005,Outlook Rules
T1134.004,Parent PID Spoofing
T1550.002,Pass the Hash
T1550.003,Pass the Ticket
T1110.002,Password Cracking
T1556.002,Password Filter DLL
T1110.001,Password Guessing
T1555.005,Password Managers
T1201,Password Policy Discovery
T1110.003,Password Spraying
T1034,Path Interception
T1574.007,Path Interception by PATH Environment Variable
T1574.008,Path Interception by Search Order Hijacking
T1574.009,Path Interception by Unquoted Path
T1120,Peripheral Device Discovery
T1069,Permission Groups Discovery
T1566,Phishing
T1205.001,Port Knocking
T1547.010,Port Monitors
T1055.002,Portable Executable Injection
T1059.001,PowerShell
T1546.013,PowerShell Profile
T1542,Pre-OS Boot
T1547.012,Print Processors
T1552.004,Private Keys
T1057,Process Discovery
