TID,Description of the technique,Ignore
T1557.002,ARP Cache Poisoning
T1548,Abuse Elevation Control Mechanism
T1531,Account Access Removal
T1087,Account Discovery
T1098,Account Manipulation
T1059.002,AppleScript
T1499.003,Application Exhaustion Flood
T1071,Application Layer Protocol
T1010,Application Window Discovery
T1499.004,Application or System Exploitation
T1560,Archive Collected Data
T1560.003,Archive via Custom Method
T1560.002,Archive via Library
T1560.001,Archive via Utility
T1573.002,Asymmetric Cryptography
T1123,Audio Capture
T1119,Automated Collection
T1020,Automated Exfiltration
T1552.003,Bash History
T1102.002,Bidirectional Communication
T1027.001,Binary Padding
T1547,Boot or Logon Autostart Execution
T1037,Boot or Logon Initialization Scripts
T1217,Browser Bookmark Discovery
T1176,Browser Extensions
T1110,Brute Force,Ignore
T1070.003,Clear Command History
T1070.002,Clear Linux or Mac System Logs
T1115,Clipboard Data
T1553.002,Code Signing
T1553.006,Code Signing Policy Modification
T1059,Command and Scripting Interpreter
T1043,Commonly Used Port
T1092,Communication Through Removable Media
T1027.004,Compile After Delivery
T1554,Compromise Client Software Binary
T1195.003,Compromise Hardware Supply Chain
T1195.001,Compromise Software Dependencies and Development Tools
T1195.002,Compromise Software Supply Chain
T1136,Create Account
T1543,Create or Modify System Process
T1110.004,Credential Stuffing
T1552.001,Credentials In Files
T1555,Credentials from Password Stores
T1555.003,Credentials from Web Browsers
T1053.003,Cron
T1071.004,DNS
T1568.003,DNS Calculation
T1485,Data Destruction
T1132,Data Encoding
T1486,Data Encrypted for Impact
T1565,Data Manipulation
T1001,Data Obfuscation
T1074,Data Staged
T1030,Data Transfer Size Limits
T1213,Data from Information Repositories
T1005,Data from Local System
T1039,Data from Network Shared Drive
T1025,Data from Removable Media
T1102.001,Dead Drop Resolver
T1491,Defacement
T1078.001,Default Accounts
T1140,Deobfuscate/Decode Files or Information
T1498.001,Direct Network Flood
T1562.004,Disable or Modify System Firewall
T1562.001,Disable or Modify Tools
T1561.001,Disk Content Wipe
T1561.002,Disk Structure Wipe
T1561,Disk Wipe
T1136.002,Domain Account
T1087.002,Domain Account
T1078.002,Domain Accounts
T1090.004,Domain Fronting
T1568.002,Domain Generation Algorithms
T1069.002,Domain Groups
T1189,Drive-by Compromise
T1574.004,Dylib Hijacking
T1574.006,Dynamic Linker Hijacking
T1568,Dynamic Resolution
T1548.004,Elevated Execution with Prompt
T1546.014,Emond
T1573,Encrypted Channel
T1499,Endpoint Denial of Service
T1480.001,Environmental Keying
T1546,Event Triggered Execution
T1480,Execution Guardrails
T1048,Exfiltration Over Alternative Protocol
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
T1011.001,Exfiltration Over Bluetooth
T1041,Exfiltration Over C2 Channel
T1011,Exfiltration Over Other Network Medium
T1052,Exfiltration Over Physical Medium
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol
T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol
T1567,Exfiltration Over Web Service
T1052.001,Exfiltration over USB
T1567.002,Exfiltration to Cloud Storage
T1567.001,Exfiltration to Code Repository
T1190,Exploit Public-Facing Application
T1203,Exploitation for Client Execution
T1212,Exploitation for Credential Access
T1211,Exploitation for Defense Evasion
T1068,Exploitation for Privilege Escalation
T1210,Exploitation of Remote Services
T1491.002,External Defacement
T1090.002,External Proxy
T1008,Fallback Channels
T1568.001,Fast Flux DNS
T1070.004,File Deletion
T1071.002,File Transfer Protocols
T1083,File and Directory Discovery
T1222,File and Directory Permissions Modification
T1495,Firmware Corruption
T1606,Forge Web Credentials
T1056.002,GUI Input Capture
T1553.001,Gatekeeper Bypass
T1061,Graphical User Interface
T1200,Hardware Additions
T1564.005,Hidden File System
T1564.001,Hidden Files and Directories
T1564.002,Hidden Users
T1564.003,Hidden Window
T1564,Hide Artifacts
T1574,Hijack Execution Flow
T1562.003,Impair Command History Logging
T1562,Impair Defenses
T1562.006,Indicator Blocking
T1027.005,Indicator Removal from Tools
T1070,Indicator Removal on Host
T1105,Ingress Tool Transfer
T1490,Inhibit System Recovery
T1056,Input Capture
T1553.004,Install Root Certificate
T1491.001,Internal Defacement
T1090.001,Internal Proxy
T1534,Internal Spearphishing
T1016.001,Internet Connection Discovery
T1036.001,Invalid Code Signature
T1059.007,JavaScript
T1001.001,Junk Data
T1547.006,Kernel Modules and Extensions
T1555.001,Keychain
T1056.001,Keylogging
T1546.006,LC_LOAD_DYLIB Addition
T1149,LC_MAIN Hijacking
T1570,Lateral Tool Transfer
T1543.001,Launch Agent
T1543.004,Launch Daemon
T1569.001,Launchctl
T1053.004,Launchd
T1222.002,Linux and Mac File and Directory Permissions Modification
T1136.001,Local Account
T1087.001,Local Account
T1078.003,Local Accounts
T1074.001,Local Data Staging
T1069.001,Local Groups
T1037.002,Logon Script (Mac)
T1071.003,Mail Protocols
T1204.002,Malicious File
T1204.001,Malicious Link
T1557,Man-in-the-Middle
T1036,Masquerading
T1036.005,Match Legitimate Name or Location
T1556,Modify Authentication Process
T1104,Multi-Stage Channels
T1090.003,Multi-hop Proxy
T1026,Multiband Communication
T1106,Native API
T1498,Network Denial of Service
T1046,Network Service Scanning
T1135,Network Share Discovery
T1040,Network Sniffing
T1095,Non-Application Layer Protocol
T1132.002,Non-Standard Encoding
T1571,Non-Standard Port
T1003,OS Credential Dumping
T1499.001,OS Exhaustion Flood
T1027,Obfuscated Files or Information
T1102.003,One-Way Communication
T1110.002,Password Cracking
T1110.001,Password Guessing
T1555.005,Password Managers
T1201,Password Policy Discovery
T1110.003,Password Spraying
T1120,Peripheral Device Discovery
T1069,Permission Groups Discovery
T1566,Phishing
T1547.011,Plist Modification
T1556.003,Pluggable Authentication Modules
T1205.001,Port Knocking
T1552.004,Private Keys
T1057,Process Discovery
T1055,Process Injection
T1001.003,Protocol Impersonation
T1572,Protocol Tunneling
T1090,Proxy
T1059.006,Python
T1037.004,RC Scripts
T1547.007,Re-opened Applications
T1108,Redundant Access
T1498.002,Reflection Amplification
T1219,Remote Access Software
T1074.002,Remote Data Staging
T1563,Remote Service Session Hijacking
T1021,Remote Services
T1018,Remote System Discovery
T1036.003,Rename System Utilities
T1496,Resource Hijacking
T1036.002,Right-to-Left Override
T1014,Rootkit
T1564.006,Run Virtual Instance
T1565.003,Runtime Data Manipulation
T1021.004,SSH
T1098.004,SSH Authorized Keys
T1563.001,SSH Hijacking
T1053,Scheduled Task/Job
T1029,Scheduled Transfer
T1113,Screen Capture
T1064,Scripting
T1518.001,Security Software Discovery
T1555.002,Securityd Memory
T1505,Server Software Component
T1499.002,Service Exhaustion Flood
T1489,Service Stop
T1548.001,Setuid and Setgid
T1072,Software Deployment Tools
T1518,Software Discovery
T1027.002,Software Packing
T1153,Source
T1036.006,Space after Filename
T1566.001,Spearphishing Attachment
T1566.002,Spearphishing Link
T1566.003,Spearphishing via Service
T1132.001,Standard Encoding
T1037.005,Startup Items
T1539,Steal Web Session Cookie
T1027.003,Steganography
T1001.002,Steganography
T1565.001,Stored Data Manipulation
T1553,Subvert Trust Controls
T1548.003,Sudo and Sudo Caching
T1195,Supply Chain Compromise
T1573.001,Symmetric Cryptography
T1497.001,System Checks
T1082,System Information Discovery
T1614,System Location Discovery
T1016,System Network Configuration Discovery
T1049,System Network Connections Discovery
T1033,System Owner/User Discovery
T1569,System Services
T1529,System Shutdown/Reboot
T1497.003,Time Based Evasion
T1070.006,Timestomp
T1205,Traffic Signaling
T1565.002,Transmitted Data Manipulation
T1546.005,Trap
T1199,Trusted Relationship
T1111,Two-Factor Authentication Interception
T1059.004,Unix Shell
T1546.004,Unix Shell Configuration Modification
T1552,Unsecured Credentials
T1497.002,User Activity Based Checks
T1204,User Execution
T1564.007,VBA Stomping
T1021.005,VNC
T1078,Valid Accounts
T1125,Video Capture
T1497,Virtualization/Sandbox Evasion
T1059.005,Visual Basic
T1606.001,Web Cookies
T1056.003,Web Portal Capture
T1071.001,Web Protocols
T1102,Web Service
T1505.003,Web Shell
