Keyword,isFound
T1087,No
T1098,No
T1098.001,No
T1499.003,No
T1499.004,No
T1110,No
T1136.003,No
T1087.004,No
T1078.004,No
T1069.003,No
T1580,No
T1552.005,No
T1538,No
T1526,No
T1136,No
T1578.002,No
T1578.001,No
T1110.004,No
T1552.001,No
T1485,No
T1486,No
T1074,No
T1530,No
T1491,No
T1078.001,No
T1578.003,No
T1498.001,No
T1562.008,No
T1562.007,No
T1562.001,No
T1499,No
T1190,No
T1491.002,No
T1562,No
T1525,No
T1204.003,No
T1578,No
T1498,No
T1046,No
T1110.001,No
T1110.003,No
T1069,No
T1108,No
T1498.002,No
T1074.002,No
T1496,No
T1578.004,No
T1518.001,No
T1499.002,No
T1518,No
T1082,No
T1614,No
T1049,No
T1537,No
T1199,No
T1552,No
T1535,No
T1204,No
T1078,No
Total Keywords,Keywords Found,Percentage
59,0,0.00
