Keyword,isFound
T1087,No
T1098,No
T1098.003,No
T1137.006,No
T1550.001,No
T1499.003,No
T1499.004,No
T1110,Found
T1136.003,No
T1087.004,No
T1078.004,No
T1069.003,No
T1538,No
T1526,No
T1136,No
T1110.004,Found
T1213,No
T1078.001,No
T1498.001,No
T1087.003,No
T1114,No
T1114.003,No
T1499,No
T1098.002,No
T1606,No
T1562,No
T1534,No
T1498,No
T1137,No
T1137.001,No
T1137.002,No
T1137.003,No
T1137.004,No
T1137.005,No
T1110.002,Found
T1110.001,Found
T1110.003,Found
T1069,No
T1566,No
T1108,No
T1498.002,No
T1114.002,No
T1606.002,No
T1518.001,No
T1499.002,No
T1213.002,No
T1518,No
T1566.002,No
T1528,No
T1539,No
T1552,No
T1550,No
T1078,No
T1550.004,No
T1500,Found
T1110.008,Found
T1059,Found
Total Keywords,Keywords Found,Percentage
57,8,14.04
