Keyword,isFound
T1583,No
T1595,No
T1583.005,No
T1584.005,No
T1591.002,No
T1596.004,No
T1592.004,No
T1587.002,No
T1588.003,No
T1586,No
T1584,No
T1589.001,No
T1590.002,No
T1583.002,No
T1584.002,No
T1596.001,No
T1591.001,No
T1587,No
T1587.003,No
T1588.004,No
T1596.003,No
T1590.001,No
T1583.001,No
T1584.001,No
T1608.004,No
T1585.002,No
T1586.002,No
T1589.002,No
T1589.003,No
T1585,No
T1587.004,No
T1588.005,No
T1592.003,No
T1592,No
T1589,No
T1590,No
T1591,No
T1592.001,No
T1590.005,No
T1591.003,No
T1591.004,No
T1608.003,No
T1608.005,No
T1587.001,No
T1588.001,No
T1590.006,No
T1590.004,No
T1590.003,No
T1588,No
T1598,No
T1597.002,No
T1596.005,No
T1595.001,No
T1597,No
T1593.002,No
T1596,No
T1593,No
T1594,No
T1583.004,No
T1584.004,No
T1593.001,No
T1585.001,No
T1586.001,No
T1592.002,No
T1598.002,No
T1598.003,No
T1598.001,No
T1608,No
T1597.001,No
T1588.002,No
T1608.001,No
T1608.002,No
T1583.003,No
T1584.003,No
T1588.006,No
T1595.002,No
T1596.002,No
T1583.006,No
T1584.006,No
Total Keywords,Keywords Found,Percentage
79,0,0.00
