Keyword,isFound
T1087,No
T1550.001,No
T1499.003,No
T1499.004,No
T1110,No
T1087.004,No
T1078.004,No
T1069.003,No
T1526,No
T1213.001,No
T1110.004,No
T1213,No
T1078.001,No
T1498.001,No
T1189,No
T1499,No
T1606,No
T1534,No
T1498,No
T1110.001,No
T1110.003,No
T1069,No
T1566,No
T1108,No
T1498.002,No
T1606.002,No
T1518.001,No
T1499.002,No
T1518,No
T1566.002,No
T1528,No
T1539,No
T1199,No
T1552,No
T1550,No
T1078,No
T1606.001,No
T1550.004,No
Total Keywords,Keywords Found,Percentage
38,0,0.00
