Keyword,isFound
T1001,
T1001.001,
T1003,
T1005,
T1007,
T1008,
T1010,
T1012,
T1014,
T1016,
T1018,
T1020,
T1021.001,
T1025,
T1027,
T1030,
T1033,
T1036,
T1037,
T1039,
T1040,
T1041,
T1046,
T1047,
T1048.002,
T1049,
T1052.001,
T1053.005,
T1055,
T1055.001,
T1056.001,
T1057,
T1059,Found
T1068,
T1069,
T1070,
T1072,
T1074,
T1078,
T1080,
T1082,
T1083,
T1087,
T1090,
T1091,
T1092,
T1095,
T1098,
T1102,
T1102.001,
T1104,
T1105,
T1106,
T1110,Found
T1112,
T1113,
T1114.001,
T1115,
T1119,
T1120,
T1123,
T1124,
T1125,
T1127.001,Found
T1132.001,
T1133,
T1134,
T1135,
T1136.001,
T1137,
T1140,
T1176,
T1187,
T1189,
T1190,
T1195,
T1197,
T1199,Found
T1200,
T1201,
T1203,
T1204.001,
T1205.001,
T1210,
T1211,
T1213,
T1213.002,
T1216.001,
T1218.001,
T1219,
T1220,
T1221,
T1222.001,
T1480.001,
T1482,
T1484.002,
T1485,
T1486,
T1489,
T1491.001,
T1496,
T1497.001,
T1497.002,
T1498,
T1505.003,
T1518,
T1518.001,
T1528,
T1529,
T1542.003,
T1543.002,
T1546.001,
T1547.001,
T1548.002,
T1550,
T1552.001,Found
T1553.002,
T1555,
T1556.001,
T1557.001,
T1558.001,
T1559.001,
T1560,
T1561.001,
T1562.001,
T1564.001,
T1565.001,
T1566,
T1568,
T1569.002,
T1570,
T1571,
T1572,
T1573,
T1574.001,
T1583.001,
T1584.003,
T1584.004,
T1584.006,
T1585,
T1585.001,
T1585.002,
T1587.001,
T1587.002,
T1587.003,
T1588.001,
T1606.001,
T1606.002,
T1565.002,Found
T1505.002,Found
T1500,Found
T1110.008,Found
Total Keywords,Keywords Found,Percentage
152,9,5.92
